"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#ModiForPM2019 #NarendraModi https://t.co/fzNw1QT77h",FALSE,0,,2018-07-11 08:00:08,FALSE,,"1016955283388526592",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","NarayanShastri",0,FALSE,FALSE,,
"My story on EWN: NPA’s decision to investigate India PM Narendra Modi welcomed. #NPA #India #NarendraModi #Kashmir… https://t.co/dfVhVDo2qk",FALSE,0,,2018-07-11 07:59:27,TRUE,,"1016955112466632704",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","FaizelPatel143",0,FALSE,FALSE,,
"RT @NareshUpreti: <U+091C><U+092C> <U+0926><U+0947><U+0936> <U+0915><U+094B> <U+0932><U+0942><U+091F><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0938><U+093E><U+0930><U+0947> <U+0928><U+0947><U+0924><U+093E> <U+092A><U+094D><U+0930><U+0927><U+093E><U+0928><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0936><U+094D><U+0930><U+0940> @narendramodi <U+091C><U+0940> <U+0915><U+0947> <U+0916><U+093F><U+0932><U+093E><U+092B> <U+0939><U+094B> <U+0938><U+0915><U+0924><U+0947> <U+0939><U+0948><ed><U+00A0><U+00BD><ed><U+00B8><U+008F>

<U+0924><U+094B> <U+0915><U+094D><U+092F><U+093E> <U+0926><U+0947><U+0936> <U+092C><U+091A><U+093E><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0938><U+092D><U+0940> <U+0928><U+093E>…",FALSE,0,,2018-07-11 07:58:37,FALSE,,"1016954902688477184",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NarendraVashist",6,TRUE,FALSE,,
"RT @thepeeinghuman: School classroom wali comedy chal rahi hai
Jab tak JIO, mauj karo! Waah Modi 4G Waah :)
#PeeingShorts #NarendraModi #bh…",FALSE,0,,2018-07-11 07:56:11,FALSE,,"1016954291435606017",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SethnaManan",24,TRUE,FALSE,,
"PM Modi Rally LIVE Updates from Punjab; Speech and Declarations - https://t.co/FaI8As5EEe #LIVEUpdates… https://t.co/LOKAfBirc8",FALSE,0,,2018-07-11 07:54:08,TRUE,,"1016953774542163968",,"<a href=\"https://www.newsfolo.com\" rel=\"nofollow\">NewsFoloCom</a>","NewsFoloCom",0,FALSE,FALSE,,
"RT @Avnish65960711: #justice4btc
 
<U+092A><U+0930><U+094D><U+092F><U+093E><U+092A><U+094D><U+0924> <U+0938><U+0902><U+0916><U+094D><U+092F><U+093E> <U+092E><U+0947><U+0902> btc <U+0935><U+093E><U+0932><U+0947> <U+0939><U+094B><U+0928><U+0947> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092D><U+0940> <U+092C><U+0940><U+090F><U+0921> <U+0935><U+093E><U+0932><U+094B> <U+0915><U+094B> <U+092A><U+094D><U+0930><U+093E><U+0925><U+092E><U+093F><U+0915> <U+092D><U+0930><U+094D><U+0924><U+0940> <U+092E><U+0947><U+0902> <U+0936><U+093E><U+092E><U+093F><U+0932> <U+0915><U+0930><U+0915><U+0947> <U+0939><U+092E><U+093E><U+0930><U+093E> <U+0939><U+0915> <U+091B><U+0940><U+0928> <U+0932><U+0947><U+0928><U+093E>…",FALSE,0,,2018-07-11 07:52:59,FALSE,,"1016953483772166144",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","subhipal",23,TRUE,FALSE,,
"RT @VHS_TAMILNADU: @Swamy39 #BREAKINGNEWS:- MODI'S ECONOMICS TO FAIL LIKE VAJPAYEE'S 'INDIA SHINING', SAYS SUBRAMANIAN SWAMY JI.
Economic D…",FALSE,0,,2018-07-11 07:51:09,FALSE,,"1016953022004514816",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Swamyfire",3,TRUE,FALSE,,
"RT @prabhatkhabar: #NarendraModi #Malout #Punjab #KisanKalyanRally  #PrakashSinghBadal
#Malout <U+092E><U+094B><U+0926><U+0940> <U+092A><U+0902><U+091C><U+093E><U+092C> <U+0915><U+0947> <U+092E><U+0932><U+094B><U+091F> <U+092A><U+0939><U+0941><U+0902><U+091A><U+0947>, <U+0916><U+0930><U+0940><U+092B> <U+092A><U+0930> 150% <U+090F><U+092E><U+090F><U+0938>…",FALSE,0,,2018-07-11 07:48:47,FALSE,,"1016952429403877376",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ssroy10",1,TRUE,FALSE,,
"RT @PTTVOnlineNews: <U+0B9F><U+0BCD><U+0BB5><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BB0><U+0BCD> <U+0BA4><U+0BB3><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0BAA><U+0BBF><U+0BA9><U+0BCD><U+0BA4><U+0BCA><U+0B9F><U+0BB0><U+0BCD><U+0BAA><U+0BB5><U+0BB0><U+0BCD><U+0B95><U+0BB3><U+0BBF><U+0BB2><U+0BCD> <U+0B89><U+0BB2><U+0B95> <U+0B85><U+0BB3><U+0BB5><U+0BBF><U+0BB2><U+0BCD> <U+0B87><U+0BA8><U+0BCD><U+0BA4><U+0BBF><U+0BAF> <U+0BAA><U+0BBF><U+0BB0><U+0BA4><U+0BAE><U+0BB0><U+0BCD> <U+0BAE><U+0BCB><U+0B9F><U+0BBF> 3<U+0B86><U+0BAE><U+0BCD> <U+0B87><U+0B9F><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0B89><U+0BB3><U+0BCD><U+0BB3><U+0BBE><U+0BB0><U+0BCD>. <U+0BAE><U+0BC1><U+0BA4><U+0BB2><U+0BBF><U+0B9F><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0B85><U+0BAE><U+0BC6><U+0BB0><U+0BBF><U+0B95><U+0BCD><U+0B95> 
<U+0B85><U+0BA4><U+0BBF><U+0BAA>…",FALSE,0,,2018-07-11 07:47:49,FALSE,,"1016952184863256576",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","hemaquotes",19,TRUE,FALSE,,
"RT @VHS_TAMILNADU: @Swamy39 #BREAKINGNEWS:- MODI'S ECONOMICS TO FAIL LIKE VAJPAYEE'S 'INDIA SHINING', SAYS SUBRAMANIAN SWAMY JI.
Economic D…",FALSE,0,,2018-07-11 07:45:44,FALSE,,"1016951661028405248",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SwamyBhakt",3,TRUE,FALSE,,
