"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @bzar_es: ¿Cuanto aguanta Neymar contra esa salvaje?
#neymarjr #futbol #fairplay https://t.co/Dz6S2hY2Bn",FALSE,0,,2018-07-11 07:58:19,FALSE,,"1016954827002302464",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","roche2020",37,TRUE,FALSE,,
"No pain no again ! <U+26BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><U+2764>
Lovesports<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #fifa18
#brazil #neymarjr neymarjr #lovebrazil 
#amitkumarjr #Amitjr… https://t.co/968onckuwM",FALSE,0,,2018-07-11 06:44:35,TRUE,,"1016936269719457793",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Amitkumarjr1",0,FALSE,FALSE,"84.11415","25.10298889"
"#NeymarChallenge  #neymarjr #cry https://t.co/pNixPgQKTZ",FALSE,0,,2018-07-11 06:35:41,FALSE,,"1016934031320080384",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","olvidaeltiempo",0,FALSE,FALSE,,
"En adopción se llama bombón y es más berrinchudo que esterilizado desparasitado vacunado  info conmigo #neymarjr https://t.co/g0OvhfUjpT",FALSE,0,,2018-07-11 06:19:18,FALSE,,"1016929909136998400",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","margara_cruz",0,FALSE,FALSE,,
"Cristiano Ronaldo <ed><U+00A0><U+00BD><ed><U+00BB><U+00A9><U+FE0F> Juventus Bound

Means 
#EdenHazard
#Mbappe
#Courtios
#Neymarjr
 
All Real Madrid Bound",FALSE,1,,2018-07-11 06:12:38,FALSE,,"1016928231973253120",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","madhurjain19",0,FALSE,FALSE,,
"RT @guto_respi: #Copa2018 #CopaDoMundo2018 #copadomundo #neymarjr #Neymar #Oscar #oscar2019 https://t.co/VzlBFDjWsQ",FALSE,0,,2018-07-11 06:07:40,FALSE,,"1016926982188228608",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GudaMartins",2,TRUE,FALSE,,
"@mundodeportivo En una de esas la negociación se cae también!!! Jajajaja, eso seria irónico. #NeymarChallenge #neymarjr #fotbol",FALSE,0,"mundodeportivo",2018-07-11 05:57:21,FALSE,"1016713294336462848","1016924384525774849","15748165","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","olvidaeltiempo",0,FALSE,FALSE,,
"RT @bzar_es: ¿Cuanto aguanta Neymar contra esa salvaje?
#neymarjr #futbol #fairplay https://t.co/Dz6S2hY2Bn",FALSE,0,,2018-07-11 05:31:39,FALSE,,"1016917916623822848",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mpastorizal",37,TRUE,FALSE,,
"RT @anthonysouzaD: Only if @neymarjr knew what real pain was!
He wouldn't have fallen over everytime someone touched him.
His expressions s…",FALSE,0,,2018-07-11 04:40:59,FALSE,,"1016905165180473344",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ziconut",2,TRUE,FALSE,,
"RT @gowithdennis: This little girl’s reaction to Neymar made me grab a box of tissues <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> Is this cute or what?

#brasileiros #brasileiro…",FALSE,0,,2018-07-11 04:38:36,FALSE,,"1016904564849758210",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TshembeleEntle",6,TRUE,FALSE,,
"RT @bzar_es: ¿Cuanto aguanta Neymar contra esa salvaje?
#neymarjr #futbol #fairplay https://t.co/Dz6S2hY2Bn",FALSE,0,,2018-07-11 04:38:07,FALSE,,"1016904444166930432",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CarusoFer",37,TRUE,FALSE,,
"RT @klyaksa4ka: #neymarjr

<U+043D><U+0430><U+0441><U+0442><U+0440><U+043E><U+0435><U+043D><U+0438><U+0435>: https://t.co/OLmj7IcGxC",FALSE,0,,2018-07-11 04:21:54,FALSE,,"1016900365063614464",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Dariasha_R",1,TRUE,FALSE,,
