"x"
"1" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"2" "no pain no again<U+26BD><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+2764>
lovespos<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61> fifa
brazil neymarjr neymarjr lovebrazil 
amitkumarjr amitjr…"
"3" "neymarchallengeneymarjr cry"
"4" "en adopción se llama bombón y es más berrinchudo que esterilizado desparasitado vacunadoinfo conmigo neymarjr"
"5" "cristiano ronaldo <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+613C><U+3E39><U+FE0F> juventus bound

means 
edenhazard
mbappe
couios
neymarjr
 
all real madrid bound"
"6" "rtcopa copadomundo copadomundo neymarjr neymar oscar oscar"
"7" "en una de esas la negociación se cae también jajajaja eso seria irónico neymarchallenge neymarjr fotbol"
"8" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"9" "rtonly ifknew what real pain was
he wouldnt have fallen over everytime someone touched him
his expressions s…"
"10" "rtthis little girl’s reaction to neymar made me grab a box of tissues <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> is this cute or what

brasileiros brasileiro…"
"11" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"12" "rtneymarjr

<U+043D><U+0430><U+0441><U+0442><U+0440><U+043E><U+0435><U+043D><U+0438><U+0435>"
"13" "cássio fala sobre experiência na copa e sai em defesa de neymarneymarjr vaineymar"
"14" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"15" "rtfound neymars dog neymar neymarrolling bra russia worldcup soccer oscars neymarjr neymarchallenge frenchie…"
"16" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"17" "rtle está cantando al oído después de la eliminación rusia <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36>neymarjr neymar"
"18" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"19" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"20" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"21" "rtinternets favouriteneymar neymarjr neymarrolling neymardive neymardramaqueen"
"22" "garrincha dando um tapinha imagina se hoje o neymarjr embarcasse assim a imprensa mundial iria ao êxtase"
"23" "low class tectice 
for won
mbappe badgay 
why you wanted to be sickas neymarjrsuck"
"24" "rtneymar de bebé <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E36>

brabel brasil neymar neymarjr neymarchallenge viernesintratable viernesdecafe videos engracadov…"
"25" "rtjajajjajajaja a levantarse que el único que gana dinero acostado es neymarjr"
"26" "rtjajajjajajaja a levantarse que el único que gana dinero acostado es neymarjr"
"27" "jajajjajajaja a levantarse que el único que gana dinero acostado es neymarjr"
"28" "neymar que caralh manooo<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>
neymarrolling neymarchallenge 
neymarjr"
"29" "com as quedas de neymar na copa do mundo deu para montar o alfabeto

copa seleçãobrasileiraworldcup…"
"30" "rtthese pictures <U+2665> edenhazard vincentkompany neymarjr thierryhenry miranda"
"31" "rtcuanto aguanta neymar contra esa salvaje
neymarjr futbol fairplay"
"32" "torcedores não perdoam cabelo de neymar e enchem a internet de memes 

neymarjr copadomundo memes zoeira brasil"
"33" "rtwhen everyone stas copyingnew amateurdramatics skills <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33> neymar neymarjr football soccer dramaqueen f…"
