"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Free! #KindleUnlimited members can download the #McCabeSavage #thriller The Girl on the Bridge by #NYTimes bestsel… https://t.co/gzhPIZ892x",FALSE,0,,2018-07-11 08:00:49,TRUE,,"1016955454734372864",,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","conpsweeney",0,FALSE,FALSE,,
"RT @samijs1: Dont Come2 Our Country Illegally!! #CNN #MSNBC #ABC #NBC #CBS #HLN #CNBC #MSM #News #Media #WSJ #CNNSOTU #USAToday #Today #NYT…",FALSE,0,,2018-07-11 07:58:27,FALSE,,"1016954862502891520",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","orlandoandresm4",65,TRUE,FALSE,,
"RT @samijs1: Dont Come2 Our Country Illegally!! #CNN #MSNBC #ABC #NBC #CBS #HLN #CNBC #MSM #News #Media #WSJ #CNNSOTU #USAToday #Today #NYT…",FALSE,0,,2018-07-11 07:57:25,FALSE,,"1016954602112126981",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Rparisee",65,TRUE,FALSE,,
"RT @samijs1: Dont Come2 Our Country Illegally!! #CNN #MSNBC #ABC #NBC #CBS #HLN #CNBC #MSM #News #Media #WSJ #CNNSOTU #USAToday #Today #NYT…",FALSE,0,,2018-07-11 07:51:42,FALSE,,"1016953160575807488",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JerryJPurchase",65,TRUE,FALSE,,
"Interesante punto de vista. Que hacemos con nuestras envidia? #nytimes https://t.co/SDNBrovZOO",FALSE,0,,2018-07-11 07:47:30,FALSE,,"1016952104471031808",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","nmenendezhta",0,FALSE,FALSE,,
"Who has the Influence now? https://t.co/ZbqBHxPiHc #ad #wsj #nytimes #reuters #bloomberg #thestreet #forbes #nasdaq… https://t.co/R3Ey1SBPnw",FALSE,0,,2018-07-11 07:37:02,TRUE,,"1016949470737649664",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","mediatweetsnow",0,FALSE,FALSE,,
"DigiTrax YouTube A.I. rap music https://t.co/xuMcliyW4r #ad #hiphop #music #rap #radio #nowplaying #pop #dance… https://t.co/l4QcVYwoCn",FALSE,0,,2018-07-11 07:36:01,TRUE,,"1016949213912010752",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","socialstartnews",0,FALSE,FALSE,,
"“I want to touch people with my art. I want them to say 'he feels deeply, he feels tenderly.'” Vincent Van Gogh … https://t.co/HY37co6JEI",FALSE,0,,2018-07-11 07:31:22,TRUE,,"1016948042845638656",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","michelef_art",0,FALSE,FALSE,,
"The latest #McCabeSavage #thriller from  #NYTimes bestselling author James Hayman @jhhayman  \"A Fatal Obsession\" is… https://t.co/gXXweaBfJW",FALSE,0,,2018-07-11 07:30:20,TRUE,,"1016947785776685056",,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","conpsweeney",0,FALSE,FALSE,,
"Social Media Influence Your Market 
https://t.co/qD1UBEKhK0 #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/4m25HiAc8J",FALSE,0,,2018-07-11 07:27:01,TRUE,,"1016946951118573568",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","pushitsocially",1,FALSE,FALSE,,
"RT @lopezgovlaw: #News via #NYTimes \"As Migrant Families Are Reunited, Some Children Don’t Recognize Their Mothers\" by MIRIAM JORDAN, KATIE…",FALSE,0,,2018-07-11 07:14:43,FALSE,,"1016943853222408192",,"<a href=\"https://script.google.com/macros/s/AKfycbx4vGUVr8-ffs5hEehcDk9bs6qgNF12LQGYA-DNXR98KM8VKVBF/exec\" rel=\"nofollow\">C-Bot</a>","Carlos_Lopez66",1,TRUE,FALSE,,
"@ParkerMolloy they painted an unrepentant butcher into a humanitarian. #nytimes harboring some serious conflict of… https://t.co/yFakT7YIhK",FALSE,0,"ParkerMolloy",2018-07-11 07:14:07,TRUE,"1016872312006676486","1016943705159356417","634734888","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","omen_syria",0,FALSE,FALSE,,
"#News via #NYTimes \"As Migrant Families Are Reunited, Some Children Don’t Recognize Their Mothers\" by MIRIAM JORDAN… https://t.co/wOurjBIdGF",FALSE,0,,2018-07-11 07:12:12,TRUE,,"1016943220452970496",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","lopezgovlaw",1,FALSE,FALSE,,
"DigiTrax Kanye West A.I. beats https://t.co/MG80fBdR41 #ad #wsj #nytimes #reuters #chicago #weed #cannabis #newyork… https://t.co/N0X4GEDC72",FALSE,0,,2018-07-11 07:12:02,TRUE,,"1016943180934238208",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","socialnewstweet",0,FALSE,FALSE,,
