"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Moje serce <ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>
#niallhoran #NH #liampayne #Directioners #onedirection #louistomlinson #harrystyles #HS #zaynmalik… https://t.co/W2eOnHrvjT",FALSE,0,,2018-07-11 08:16:57,TRUE,,"1016959515907018752",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","senselessnessxx",0,FALSE,FALSE,,
"The story of my life I give her hope (give her hope)
I spend her love until she's broke inside (until she's broke inside)
The #OneDirection",FALSE,0,,2018-07-11 08:10:22,FALSE,,"1016957857818791937",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","One_nicechance",0,FALSE,FALSE,,
"<U+3010> #OneDirection NEWS <U+3011> <U+300C><U+30C0><U+30F3><U+30B1><U+30EB><U+30AF><U+300D><U+3092><U+30AD><U+30CD><U+30AB><U+5927><U+68EE><U+3067>35mm<U+30D5><U+30A3><U+30EB><U+30E0><U+4E0A><U+6620> - <U+6620><U+753B><U+30CA><U+30BF><U+30EA><U+30FC> https://t.co/5iwfTgFqb7 https://t.co/hD4TiAtI2n",FALSE,0,,2018-07-11 08:08:23,FALSE,,"1016957361494396928",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","NEWS___1D",0,FALSE,FALSE,,
"Ankles in a ton of pain right now! Just randomly! It’s been a crazy day! 
.
#record #vinyl #inmydreams… https://t.co/TkazfKPKfr",FALSE,0,,2018-07-11 08:04:43,TRUE,,"1016956436797116418",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","dwtshough",0,FALSE,FALSE,,
"I miss Where we going today mark!
.
#record #vinyl #inmydreams #LouisTomlinson #Louis #Freddie #freddietomlinson… https://t.co/sfxDPWR0Ju",FALSE,0,,2018-07-11 08:02:21,TRUE,,"1016955841218375680",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","dwtshough",0,FALSE,FALSE,,
"Payno!
.
#record #vinyl #inmydreams #LouisTomlinson #Louis #Freddie #freddietomlinson #1D #OneDirection #LiamPayne… https://t.co/prisd1uuFJ",FALSE,0,,2018-07-11 08:02:14,TRUE,,"1016955812533735424",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","dwtshough",0,FALSE,FALSE,,
"https://t.co/aUUFbOC5dT

#INeedSomebody aumentiamo le views! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#EmmaMuscat #SelenaGomez #ArianaGrande #Beyonce… https://t.co/FFJZrgvjHQ",FALSE,0,,2018-07-11 08:00:54,TRUE,,"1016955475898888192",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","donatellab3",1,FALSE,FALSE,,
"Zayn's second name Malik means 'King' #fact #OneDirection #Directioner #zaynmalik #Zayn #ZaynFacts #Zquad",FALSE,0,,2018-07-11 08:00:02,FALSE,,"1016955260420567040",,"<a href=\"http://fansyouneed.com/zayn\" rel=\"nofollow\">Zayn Fans Social App</a>","ZAYNfansyouneed",0,FALSE,FALSE,,
"RT @BANGShowbiz: Louis Tomlinson ‘to be X Factor judge’ #LouisTomlinson #OneDirection #XFactor #SimonCowell #RobbieWilliams https://t.co/AR…",FALSE,0,,2018-07-11 07:58:37,FALSE,,"1016954902889709568",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","chun0803",21,TRUE,FALSE,,
"RT @FASHIONGROUP: “qualsiasi cosa fai, fai in modo che ci sia passione”
#fun #instagramers  #food #smile #pretty #followme #nature #lol #do…",FALSE,0,,2018-07-11 07:54:12,FALSE,,"1016953792733081600",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FASHIONGROUP",5,TRUE,FALSE,,
"RT @FirstLightFF: 'Bells Will Be Ringing' Chapter 7 starring you, Niall Horan and the rest of 1D.

https://t.co/BJXa6QhxbA

#NiallHoran #On…",FALSE,0,,2018-07-11 07:48:48,FALSE,,"1016952430037295104",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Kemi3692",1,TRUE,FALSE,,
"'Bells Will Be Ringing' Chapter 7 starring you, Niall Horan and the rest of 1D.

https://t.co/BJXa6QhxbA… https://t.co/sPE2ClrUbx",FALSE,0,,2018-07-11 07:48:21,TRUE,,"1016952317864808449",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FirstLightFF",1,FALSE,FALSE,,
"1D<U+306E><U+7D50><U+6210><U+3055><U+308C><U+305F><U+65E5>7<U+6708>23<U+65E5><U+307E><U+3067><U+306B>

<U+300E>723RT<U+300F><U+76EE><U+6307><U+3057><U+307E><U+3059>!

Dir<U+3055><U+3093><U+5354><U+529B><U+304A><U+9858><U+3044><U+3057><U+307E><U+3059>!!
#boys
#OneDirection 
#1D 
#dir<U+3055><U+3093><U+306A><U+3089>RT
https://t.co/18PR9G99aS",FALSE,0,,2018-07-11 07:45:54,FALSE,,"1016951703692693504",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","oned_loveone",0,FALSE,FALSE,,
"RT @We_Are_Zquad: If U Really Love @zaynmalik then U Guys Must Like &amp;  Retweet it. 
And Don't forget to Follow
. <ed><U+00A0><U+00BD><ed><U+00B1><U+0087>. 
@We_Are_Zquad 
Love Yo…",FALSE,0,,2018-07-11 07:41:43,FALSE,,"1016950650347950080",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SohunBerrymou",1,TRUE,FALSE,,
"RT @NEWS___1D: <U+3010> #OneDirection NEWS <U+3011> <U+300C>1D<U+300D><U+30EA><U+30A2><U+30E0>·<U+30DA><U+30A4><U+30F3><U+3001><U+30B2><U+30FC><U+30E0><U+4F9D><U+5B58><U+304C><U+30B7><U+30A7><U+30EA><U+30EB><U+3068><U+306E><U+7834><U+5C40><U+306E><U+539F><U+56E0>!<U+FF1F> <U+5F7C><U+5973><U+304C><U+30D6><U+30C1><U+304D><U+308C><U+3066><U+30B2><U+30FC><U+30E0><U+6A5F><U+3092><U+653E><U+308A><U+6295><U+3052><U+305F><U+3053><U+3068><U+3082> - TV<U+30B0><U+30EB><U+30FC><U+30F4>·<U+30C9><U+30C3><U+30C8>·<U+30B3><U+30E0> https://t.co/Nujbc8jqDP https:/…",FALSE,0,,2018-07-11 07:38:55,FALSE,,"1016949946690560001",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"RT @NEWS___1D: <U+3010> #OneDirection NEWS <U+3011> <U+30CA><U+30A4><U+30EB>·<U+30DB><U+30FC><U+30E9><U+30F3><U+3001><U+5F85><U+671B><U+306E><U+65B0><U+66F2><U+306F><U+30DD><U+30B7><U+30C6><U+30A3><U+30D6><U+306A><U+30D5><U+30A9><U+30FC><U+30AF><U+30BD><U+30F3><U+30B0><U+306B>! - MTV https://t.co/0LqdS3YFSf https://t.co/su1RH9vyIl https://t.co/bsa…",FALSE,0,,2018-07-11 07:38:51,FALSE,,"1016949928608894976",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"RT @NEWS___1D: <U+3010> #OneDirection NEWS <U+3011> <U+300C>1D<U+300D><U+30EA><U+30A2><U+30E0>·<U+30DA><U+30A4><U+30F3><U+3068><U+7834><U+5C40><U+306E><U+30B7><U+30A7><U+30EA><U+30EB><U+3001><U+3046><U+3063><U+304B><U+308A><U+300C><U+30C0><U+30A4><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3><U+300D><U+3068><U+3044><U+3046><U+8A00><U+8449><U+3092><U+4F7F><U+3044><U+30C4><U+30A4><U+30C3><U+30BF><U+30FC><U+304C><U+708E><U+4E0A> - TV<U+30B0><U+30EB><U+30FC><U+30F4>·<U+30C9><U+30C3><U+30C8>·<U+30B3><U+30E0> https://t.co/82wMGHxYNB https://t.c…",FALSE,0,,2018-07-11 07:38:42,FALSE,,"1016949889564073984",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"RT @_FedericaHere_: #OneDirection #ArianaGrande #LittleMix #TeenChoice 
https://t.co/BOs01jiM5y",FALSE,0,,2018-07-11 07:38:36,FALSE,,"1016949863391678464",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"RT @saghar_zarrin: Everything that you ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the nigh…",FALSE,0,,2018-07-11 07:38:28,FALSE,,"1016949832894877696",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"RT @wandai_lav_: cutest thing ever!!

<U+79C1><U+3082>I love you<U+8A00><U+3044><U+305F><U+30FC><U+3044>

#harrystyles

#onedirection https://t.co/Wzi6jRSX5O",FALSE,0,,2018-07-11 07:36:54,FALSE,,"1016949436348444674",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Dir81304597",1,TRUE,FALSE,,
"Everything that you ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the… https://t.co/EnVS718Mbb",FALSE,0,,2018-07-11 07:36:09,TRUE,,"1016949249240633344",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","saghar_zarrin",1,FALSE,FALSE,,
"RT @imokayuarehey: #TeenChoiceAwards #TeenChoice  #ChoiceFandom #OneDirection #Directioners",FALSE,0,,2018-07-11 07:34:37,FALSE,,"1016948861632483328",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BugouVida",6,TRUE,FALSE,,
"RT @BANGShowbiz: Louis Tomlinson ‘to be X Factor judge’ #LouisTomlinson #OneDirection #XFactor #SimonCowell #RobbieWilliams https://t.co/AR…",FALSE,0,,2018-07-11 07:30:39,FALSE,,"1016947863966715904",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jp_natsu_ki",21,TRUE,FALSE,,
"RT @ARIA_Official: WINNER: @OneDirection - Best International Artist #ARIAs #OneDirection https://t.co/Tkus5OKqrL",FALSE,0,,2018-07-11 07:21:00,FALSE,,"1016945433954824192",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","RKsDebleena",17304,TRUE,FALSE,,
"RT @BANGShowbiz: Louis Tomlinson ‘to be X Factor judge’ #LouisTomlinson #OneDirection #XFactor #SimonCowell #RobbieWilliams https://t.co/AR…",FALSE,0,,2018-07-11 07:17:36,FALSE,,"1016944581965778944",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","a_dir_723",21,TRUE,FALSE,,
"#OneDirection #ArianaGrande #LittleMix #TeenChoice 
https://t.co/BOs01jiM5y",FALSE,0,,2018-07-11 07:17:21,FALSE,,"1016944517583376384",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","_FedericaHere_",1,FALSE,FALSE,,
"RT @harrysxangel: @clumsyhvrry @a_accaunt @N_HaroldS @GreyUnicorns @onedsvodka @onedirection WAY TO MANY PEOPLE IN THE ADDISON LEEEEEE

#Te…",FALSE,0,,2018-07-11 07:13:46,FALSE,,"1016943615380090880",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","zapphirez_",13,TRUE,FALSE,,
"<U+3010> #OneDirection NEWS <U+3011> <U+300C>1D<U+300D><U+30EA><U+30A2><U+30E0>·<U+30DA><U+30A4><U+30F3><U+3068><U+7834><U+5C40><U+306E><U+30B7><U+30A7><U+30EA><U+30EB><U+3001><U+3046><U+3063><U+304B><U+308A><U+300C><U+30C0><U+30A4><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3><U+300D><U+3068><U+3044><U+3046><U+8A00><U+8449><U+3092><U+4F7F><U+3044><U+30C4><U+30A4><U+30C3><U+30BF><U+30FC><U+304C><U+708E><U+4E0A> - TV<U+30B0><U+30EB><U+30FC><U+30F4>·<U+30C9><U+30C3><U+30C8>·<U+30B3><U+30E0> https://t.co/82wMGHxYNB https://t.co/dPhB2Zj4gX",FALSE,1,,2018-07-11 07:13:28,FALSE,,"1016943539928862720",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","NEWS___1D",1,FALSE,FALSE,,
