"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CorvetteAmerica: Corvette America #free #giveaway. Retweet &amp; follow for a chance to #win this #Pink Hooded Sweatshirt. Winners are chos…",FALSE,0,,2018-07-11 08:16:16,FALSE,,"1016959345609920512",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TVTimeForMe",16,TRUE,FALSE,,
"RT @Nu485: Unicorn hair, unicorn hearing aids #simples #hearingloss #hearingaids #pink #unicorn @OticonUK @RJDhearing https://t.co/OzFnT31h…",FALSE,0,,2018-07-11 08:14:43,FALSE,,"1016958955116023808",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sharonmar3",0,TRUE,FALSE,,
"RT @vj_life_n_art: Gnte....Title&lt;Chinese mums in the garden&gt;
.<ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>enjoy Flower hugs,..<ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BE><ed><U+00B4><U+00A9><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BE><ed><U+00B4><U+00A9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><U+2698>Beautiful #byvj <ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><U+2698><ed><U+00A0><U+00BE><ed><U+00B5><U+0080><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1><U+2698><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BE><ed><U+00B5><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0083><ed><U+00A0><U+00BE><ed><U+00B4><U+0097> enjoy #flowersofgo…",FALSE,0,,2018-07-11 08:12:50,FALSE,,"1016958480396308481",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","Norward_S",1,TRUE,FALSE,,
"Sunshine + pink flowers on a Sunday afternoon= <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> #pink #flowers #love #weekend #sunday https://t.co/p4zdw7UxRm",FALSE,0,,2018-07-11 08:12:42,FALSE,,"1016958446711631872",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","HeidiLandford",0,FALSE,FALSE,,
"water proof<ed><U+00A0><U+00BC><ed><U+00BF><U+0084><U+200D><U+2640><U+FE0F>

<U+6D77><U+3084><U+30D7><U+30FC><U+30EB><U+3067><U+5927><U+6D3B><U+8E8D><U+306E><U+9632><U+6C34><U+30B1><U+30FC><U+30B9><U+3067><U+3059><ed><U+00A0><U+00BC><ed><U+00BD><U+00A7><U+4E07><U+304C><U+4E00><U+3001><U+6C34><U+4E2D><U+306B><U+843D><U+3068><U+3057><U+3066><U+3082><U+6D6E><U+304F><U+3088><U+3046><U+306B><U+51FA><U+6765><U+3066><U+3044><U+308B><U+306E><U+3067><U+7D1B><U+5931><U+9632><U+6B62><U+306B><U+3082><U+306A><U+308A><U+307E><U+3059><ed><U+00A0><U+00BC><ed><U+00BC><U+009E><U+3053><U+308C><U+304B><U+3089><U+59CB><U+307E><U+308B><U+5B63><U+7BC0><U+306B><U+3044><U+304B><U+304C><U+3067><U+3057><U+3087><U+3046><U+304B><ed><U+00A0><U+00BC><ed><U+00BD><U+0089><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>

#iphone #smartphone… https://t.co/HTBPtukPaj",FALSE,0,,2018-07-11 08:12:14,TRUE,,"1016958329191522309",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Mfactory_est",0,FALSE,FALSE,,
"#fashion #style #stylish #love#me #cute #photooftheday #nails #hair #beauty #beautiful #instagood #pretty #swag… https://t.co/4d8HmjvTqM",FALSE,0,,2018-07-11 08:11:46,TRUE,,"1016958213181362177",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","gotamgirl",0,FALSE,FALSE,,
"RT @favale_n: #MyLittlePony #ArtIsEverywhere

#unicorn #pink #purple #purplehair #horses #lgbtqia #padovapride2018 #padovapridevillage #mai…",FALSE,0,,2018-07-11 08:10:56,FALSE,,"1016958003529035777",,"<a href=\"https://www.example.com\" rel=\"nofollow\">LoveArtBot</a>","IloveArtBot",1,TRUE,FALSE,,
"My little camo baby <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #piper_morgan_scott #modelbaby #minimodel #model #daughter #babygirl #baby #camo #camoflauge… https://t.co/jnDx0eEHPM",FALSE,0,,2018-07-11 08:10:50,TRUE,,"1016957977549574144",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PiperMorganSco1",0,FALSE,FALSE,,
"#TapseePannu is the #dark horse who springs surprises like #Baby #NaamShabana #Pink. Tapsee chats on #stardom… https://t.co/0JoWUpeVDk",FALSE,0,,2018-07-11 08:10:24,TRUE,,"1016957869055463424",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","themoviemoth18",0,FALSE,FALSE,,
"RT @priemji: <U+0E22><U+0E31><U+0E22><U+0E40><U+0E40><U+0E21><U+0E27><U+0E40><U+0E0B><U+0E15><U+0E19><U+0E35><U+0E49><U+0E14><U+0E35><U+0E15><U+0E48><U+0E2D><U+0E43><U+0E08><U+0E21><U+0E32><U+0E01><ed><U+00A0><U+00BD><ed><U+00B0><U+00B1><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BC><ed><U+00BC><U+0099> <U+0E21><U+0E32><U+0E1B><U+0E23><U+0E31><U+0E1A><U+0E40><U+0E40><U+0E2A><U+0E07><U+0E40><U+0E40><U+0E25><U+0E30><U+0E2A><U+0E35><U+0E19><U+0E34><U+0E14><U+0E2B><U+0E19><U+0E48><U+0E2D><U+0E22> <U+0E0A><U+0E2D><U+0E1A><U+0E01><U+0E47><U+0E01><U+0E14><U+2764><U+0E2B><U+0E23><U+0E37><U+0E2D><U+0E44><U+0E21><U+0E48><U+0E01><U+0E47>RT<U+0E44><U+0E14><U+0E49><U+0E19><U+0E30><U+0E07><U+0E49><U+0E32><U+0E1A><U+0E1A><U+0E1A><U+0E1A><ed><U+00A0><U+00BC><ed><U+00BD><U+0091>
#<U+0E40><U+0E40><U+0E08><U+0E01><U+0E27><U+0E2D><U+0E25> #<U+0E40><U+0E40><U+0E08><U+0E01><U+0E14><U+0E34><U+0E2A> #<U+0E27><U+0E2D><U+0E25><U+0E40><U+0E1B><U+0E40><U+0E1B><U+0E2D><U+0E23><U+0E4C> #<U+0E27><U+0E2D><U+0E25><U+0E42><U+0E1F><U+0E19> #<U+0E27>…",FALSE,0,,2018-07-11 08:09:10,FALSE,,"1016957555313004544",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CatsssssEye",309,TRUE,FALSE,,
"RT @__ROSCOE_: Me so Thiqq <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
.
.
.
#GTAOnline #GTAPhotograhers #Snapmatic #Attention #IWantIt #ImBored #DoTheseEvenWork #MoreTheMerrier…",FALSE,0,,2018-07-11 08:06:47,FALSE,,"1016956958488842240",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","I__gurly",1,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B9><U+0087><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0093><ed><U+00A0><U+00BD><ed><U+00B9><U+0087><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0093>
#louisvuitton #<U+65B0><U+4F5C> #<U+8CA1><U+5E03> #pink #thankyou #<ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096> https://t.co/lkSym5K2L8",FALSE,0,,2018-07-11 08:05:59,FALSE,,"1016956757560713216",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","n__0708__",0,FALSE,FALSE,,
"RT @SelynaCarter: Was a great time with you on @LiveJasmin   Thanks<ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
  What colour do you prefer for My hair?<U+263A><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><U+2764><U+FE0F> kisses
 #girlsfromstudi…",FALSE,0,,2018-07-11 08:04:45,FALSE,,"1016956444812496896",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","peach_platinum",7,TRUE,FALSE,,
"Me so Thiqq <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
.
.
.
#GTAOnline #GTAPhotograhers #Snapmatic #Attention #IWantIt #ImBored #DoTheseEvenWork… https://t.co/uqYl4MYkv0",FALSE,2,,2018-07-11 08:03:07,TRUE,,"1016956034315939840",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","__ROSCOE_",1,FALSE,FALSE,,
"https://t.co/jNZfdx4fHK
#epiconetsy #craftchaching #etsyshop #princess #pink #carriage #fairytale #newmommy #mom https://t.co/istpJH1u6x",FALSE,0,,2018-07-11 08:03:02,FALSE,,"1016956014652948480",,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","DiaperMakeOvers",0,FALSE,FALSE,,
"Patio Planting...
#Pelargonium #Pink
<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>
<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8> https://t.co/aSauHISALB",FALSE,6,,2018-07-11 08:02:50,FALSE,,"1016955963528622080",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SkylarkArtist",0,FALSE,FALSE,,
"RT @DreamDaWabbit: Late night drawing for @Lerunechka1997 i oddly put a lot into this lol welp hope ya like it~ GO TEAM BUN BUN!!!! and tha…",FALSE,0,,2018-07-11 08:00:53,FALSE,,"1016955473772384258",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Lerunechka1997",1,TRUE,FALSE,,
"Late night drawing for @Lerunechka1997 i oddly put a lot into this lol welp hope ya like it~ GO TEAM BUN BUN!!!! an… https://t.co/ymFSsjI5Gx",FALSE,1,,2018-07-11 08:00:34,TRUE,,"1016955393174454272",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","DreamDaWabbit",1,FALSE,FALSE,,
"Wednesday we wear pink<ed><U+00A0><U+00BD><ed><U+00B1><U+0098><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8> #wednesdaywewearpink #pink #jumpsuit #sparklestyle #seasoncolors #summer #pinkstyling… https://t.co/qCVMOjnjF4",FALSE,0,,2018-07-11 08:00:13,TRUE,,"1016955305731780610",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","SparkleStyle1",0,FALSE,FALSE,,
