"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @pitbullpress: Dog Dies After 3 Hours in Parked Car with Air Conditioner Running 
https://t.co/NFYGKfaZqM

\"Leave your dogs at home...Pe…",FALSE,0,,2018-07-11 08:17:58,FALSE,,"1016959773043056640",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PinelopiD7",13,TRUE,FALSE,,
"Can you all follow my dogs page ? #dogsofinstagram #dogsoftwitter #puppies #bullmastiff #pitbull https://t.co/nSMOgOzTz3",FALSE,0,,2018-07-11 08:17:35,FALSE,,"1016959675269558272",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","erica73506657",0,FALSE,FALSE,,
"RT @pitbullpress: Two Pit Bulls Tied With Chains And Locks Abandoned Under The Freeway. 
Link: https://t.co/0GXwIfSMul

#ThePitbullPress #P…",FALSE,0,,2018-07-11 08:16:20,FALSE,,"1016959362512891905",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PinelopiD7",76,TRUE,FALSE,,
"RT @diariodecuba: Reguetón cubano hecho en Miami: con IAmChino, #Pitbull y #ElMicha https://t.co/KkHopdLxUq | Diario de Cuba https://t.co/2…",FALSE,0,,2018-07-11 08:14:57,FALSE,,"1016959013483892736",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","EllLarrinaga",2,TRUE,FALSE,,
"RT @sasiejane: Remembering Lennox killed because he looked like a pit bull no dog should die because of the way it looks! #LennoxArmy #EndB…",FALSE,0,,2018-07-11 08:13:49,FALSE,,"1016958728518668288",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>","19Hope60",1,TRUE,FALSE,,
"Remembering Lennox killed because he looked like a pit bull no dog should die because of the way it looks!… https://t.co/ac1gCYP3p2",FALSE,0,,2018-07-11 08:12:12,TRUE,,"1016958320563884032",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sasiejane",1,FALSE,FALSE,,
"RT @adozioneanimali: (#Napoli) quenn cucciola #pitbull pitbull , #Cane Femmina: Ecco a voi Quenn bellissimo esemplare di #pitbull terrier.…",FALSE,0,,2018-07-11 08:11:02,FALSE,,"1016958026199289856",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Marinamedium",12,TRUE,FALSE,,
"#pitbull #mrworldwide #inspirational #inspo #motivational #VM2018 #2tdf #Kristiansand https://t.co/ah6qDisIrB",FALSE,0,,2018-07-11 08:06:31,FALSE,,"1016956891627483137",,"<a href=\"http://github.com/pitspiration\" rel=\"nofollow\">pitspiration</a>","pitspiration",0,FALSE,FALSE,,
"Las mascotas deberían vivir para siempre. 

#lurin #pitbull https://t.co/mdM0iZbHrF",FALSE,0,,2018-07-11 08:06:18,FALSE,,"1016956835440611328",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Brandonmunevar1",0,FALSE,FALSE,,
"RT @pitbullpress: Lost Pit Bull Asks Cop For Help In The Sweetest Way
https://t.co/rKEgk5vnD6

#pitbullpress #betheirvoice #enddogfighting…",FALSE,0,,2018-07-11 08:01:37,FALSE,,"1016955657751351296",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","27reasonstorock",83,TRUE,FALSE,,
"RT @adozioneanimali: (#Napoli) quenn cucciola #pitbull pitbull , #Cane Femmina: Ecco a voi Quenn bellissimo esemplare di #pitbull terrier.…",FALSE,0,,2018-07-11 07:58:44,FALSE,,"1016954930740031493",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","valenti74230134",12,TRUE,FALSE,,
"We're happy to see #Pitbull, godfather to Norwegian Escape, supporting #England in the #WorldCup by honouring… https://t.co/GLVACAEu15",FALSE,2,,2018-07-11 07:57:27,TRUE,,"1016954607027834880",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Cruisemag",0,FALSE,FALSE,,
"I think my #pitbull is upset at me for cuddling with my #TibetanMastiff puppy because he won't come to bed with me.… https://t.co/46rXRuD8e8",FALSE,1,,2018-07-11 07:56:53,TRUE,,"1016954466241826816",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OFPBlueFalcon",0,FALSE,FALSE,,
"RT @AnimalRepublic1: Riproponiamo la stupenda Carlotta, mix #pitbull di appena 2 anni, circa 25 kg: non riesce a trovare casa! 
Carlotta è…",FALSE,0,,2018-07-11 07:50:39,FALSE,,"1016952898725535744",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mauri3575",3,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><U+2665><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>Permanent Smiles <ed><U+00A0><U+00BD><ed><U+00B1><U+00B8><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B0><U+0089> #PrincessandherDragon #pitbull #Tiko #thisishappiness #runningpack #loveofmylife @ Vancouv… https://t.co/SSGFtZsLOM",FALSE,0,,2018-07-11 07:47:33,TRUE,,"1016952116026494976",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Amarakrem",0,FALSE,FALSE,"-123.1204","49.2819"
"RT @adozioneanimali: (#Napoli) quenn cucciola #pitbull pitbull , #Cane Femmina: Ecco a voi Quenn bellissimo esemplare di #pitbull terrier.…",FALSE,0,,2018-07-11 07:42:10,FALSE,,"1016950763640279042",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GraziellaVespa",12,TRUE,FALSE,,
"RT @adozioneanimali: (#Napoli) quenn cucciola #pitbull pitbull , #Cane Femmina: Ecco a voi Quenn bellissimo esemplare di #pitbull terrier.…",FALSE,0,,2018-07-11 07:38:43,FALSE,,"1016949894072946689",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TuttoQuaNews",12,TRUE,FALSE,,
