"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MissMalini: We need all of #PriyankaChopra's sunglasses in our lives, STAT! https://t.co/wfCCoIWPtX https://t.co/4lCWDdYT5w",FALSE,0,,2018-07-11 08:32:32,FALSE,,"1016963438822739968",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","varnishasharma",17,TRUE,FALSE,,
"RT @123telugu: New Photos: #PriyankaChopra

https://t.co/BPkaNf7daI https://t.co/8390h4F9yc",FALSE,0,,2018-07-11 08:31:17,FALSE,,"1016963124610691072",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","varnishasharma",17,TRUE,FALSE,,
"RT @anchorhimanshi7: Only a couple of minutes left and then we go live with the one &amp; only @priyankachopra!! Hang tight. #PriyankaChopra #I…",FALSE,0,,2018-07-11 08:31:16,FALSE,,"1016963117711069184",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Mehwishkhan12z",4,TRUE,FALSE,,
"RT @anchorhimanshi7: Hosting with the diva @priyankachopra today.<ed><U+00A0><U+00BE><ed><U+00B4><U+00A9>  Stay tuned for exclusive pictures &amp; videos. #CelebrityEvents #Anchor #M…",FALSE,0,,2018-07-11 08:30:10,FALSE,,"1016962843428569088",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Priyonce3",12,TRUE,FALSE,,
"RT @anchorhimanshi7: Only a couple of minutes left and then we go live with the one &amp; only @priyankachopra!! Hang tight. #PriyankaChopra #I…",FALSE,0,,2018-07-11 08:30:02,FALSE,,"1016962808066371584",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","goneguy01",4,TRUE,FALSE,,
"RT @anchorhimanshi7: Only a couple of minutes left and then we go live with the one &amp; only @priyankachopra!! Hang tight. #PriyankaChopra #I…",FALSE,0,,2018-07-11 08:30:00,FALSE,,"1016962799526817792",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Priyonce3",4,TRUE,FALSE,,
"#PriyankaChopra 'Hates' Dental Work. 

@priyankachopra 

https://t.co/s5t3OTWGl2",FALSE,0,,2018-07-11 08:30:00,FALSE,,"1016962799514390528",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","middayent",0,FALSE,FALSE,,
"RT @anchorhimanshi7: Only a couple of minutes left and then we go live with the one &amp; only @priyankachopra!! Hang tight. #PriyankaChopra #I…",FALSE,0,,2018-07-11 08:29:16,FALSE,,"1016962615900172288",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yasiru_vismini",4,TRUE,FALSE,,
"RT @katrinasidmalh1: My new edit for my queen katrina how is it guys? 
Like+ comment if u like it n u want to share tag me .
#katrinakaif #…",FALSE,0,,2018-07-11 08:29:14,FALSE,,"1016962605385121792",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AnsariMoIrshad2",4,TRUE,FALSE,,
"RT @anchorhimanshi7: Hosting with the diva @priyankachopra today.<ed><U+00A0><U+00BE><ed><U+00B4><U+00A9>  Stay tuned for exclusive pictures &amp; videos. #CelebrityEvents #Anchor #M…",FALSE,0,,2018-07-11 08:28:51,FALSE,,"1016962511776567302",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yasiru_vismini",12,TRUE,FALSE,,
"Only a couple of minutes left and then we go live with the one &amp; only @priyankachopra!! Hang tight. #PriyankaChopra… https://t.co/Fhao7h8q3q",FALSE,2,,2018-07-11 08:26:30,TRUE,,"1016961921403109376",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","anchorhimanshi7",4,FALSE,FALSE,,
"RT @MissMalini: We need all of #PriyankaChopra's sunglasses in our lives, STAT! https://t.co/wfCCoIWPtX https://t.co/4lCWDdYT5w",FALSE,0,,2018-07-11 08:26:13,FALSE,,"1016961847994519552",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","alvina91",17,TRUE,FALSE,,
"RT @pinkvilla: #PriyankaChopra shows us how to pose on a rainy night and #GigiHadid approves
https://t.co/YRLemOvVVs @priyankachopra https:…",FALSE,0,,2018-07-11 08:25:42,FALSE,,"1016961719028068352",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","arundhati222",13,TRUE,FALSE,,
"RT @katrinaa_team: Who do u think is hotter??? <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#KatrinaKaif #deepikapadukone #katrina #Deepika #AliaBhatt #ShraddhaKapoor #PriyankaCho…",FALSE,0,,2018-07-11 08:14:31,FALSE,,"1016958901982384128",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HarshitVaid8",2,TRUE,FALSE,,
"RT @pinkvilla: #PriyankaChopra shows us how to pose on a rainy night and #GigiHadid approves
https://t.co/YRLemOvVVs @priyankachopra https:…",FALSE,0,,2018-07-11 08:08:52,FALSE,,"1016957483011600385",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Vivek_2Sharma",13,TRUE,FALSE,,
"RT @anchorhimanshi7: It's going to be a special day tomorrow for all the @priyankachopra fans which includes me as well because it's time f…",FALSE,0,,2018-07-11 08:08:50,FALSE,,"1016957473255841795",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","HemantK647",1,TRUE,FALSE,,
