"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @nachi_1793: <U+0930><U+094B><U+0928><U+093E><U+0932><U+094D><U+0921><U+094B> <U+091C><U+0941><U+0935><U+0947><U+0902><U+091F><U+0938><U+0915><U+0921><U+0947>. <U+0930><U+093F><U+092F><U+0932> <U+092E><U+0945><U+0921><U+094D><U+0930><U+093F><U+0921><U+0928><U+0947> <U+0915><U+0947><U+0932><U+0940> <U+0905><U+0927><U+093F><U+0915><U+0943><U+0924> <U+0918><U+094B><U+0937><U+0923><U+093E>. #CR7 #cr7juventus #CR7AllaJuventus #RealMadrid #Juventus @Maha_Sport…",FALSE,0,,2018-07-11 08:18:34,FALSE,,"1016959922238566400",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Pranali_k18",5,TRUE,FALSE,,
"RT @AntonioLeonPES: El 20 de abril del 2012, @Cristiano es protagonista, de uno de los mejores \"teasers\" de la saga de PES, y fue para nada…",FALSE,0,,2018-07-11 08:18:09,FALSE,,"1016959820161789952",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PesNewEra_it",15,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:17:46,FALSE,,"1016959721960558594",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","duodecimaaaa",91293,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:17:35,FALSE,,"1016959676787908608",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jorgebarajasm",91293,TRUE,FALSE,,
"RT @TJMRobertson: £500k a week! <ed><U+00A0><U+00BD><ed><U+00B2><U+00B0> <ed><U+00A0><U+00BD><ed><U+00B2><U+00B5> <ed><U+00A0><U+00BD><ed><U+00B2><U+00B7> -
-
#cristianoronaldo #ronaldo #cr7 #cristiano #realmadrid #juventus #worldcup2018 https://t.co/6W3mZ…",FALSE,0,,2018-07-11 08:17:19,FALSE,,"1016959607275737089",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Giorgin73175806",0,TRUE,FALSE,,
"RT @footballespana_: Gareth Bale still to hold talks with #RealMadrid over future despite reports that Cristiano Ronaldo exit had settled h…",FALSE,0,,2018-07-11 08:17:09,FALSE,,"1016959567643672576",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","janalita",1,TRUE,FALSE,,
"RT @shuga099: We need to settle this now 
Who was your best 10 tonight 
Rt for Hazard 
Like for mbappe
#FRABEL #TimeForTorreira #RealMadrid…",FALSE,0,,2018-07-11 08:17:04,FALSE,,"1016959545917222912",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","celeswelihle",3,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:17:00,FALSE,,"1016959530087747586",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Wasabi__9029",91293,TRUE,FALSE,,
"If u cant beat them..buy them 
@Cristiano
#juventus 
#RealMadrid",FALSE,0,,2018-07-11 08:16:59,FALSE,,"1016959526342418432",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Khalid05174491",0,FALSE,FALSE,,
"RT @Marapolsa: Cristiano Ronaldo is a #RealMadrid Legend 

Appearances: 438
Goals: 450 
Assists: 119
Hat-tricks: 44 https://t.co/WDI2grNqCO",FALSE,0,,2018-07-11 08:16:55,FALSE,,"1016959505911943168",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","joey_assam",231,TRUE,FALSE,,
"RT @talkSPORT: Cristiano Ronaldo at #RealMadrid:

<U+26AA> Games: 438
<U+26BD> Goals: 450
<ed><U+00A0><U+00BC><ed><U+00BE><U+00AF> Assists: 119

<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA> 4x UCL
<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> 2x La Liga
<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> 2x Copa Del Re…",FALSE,0,,2018-07-11 08:16:54,FALSE,,"1016959502644645890",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PL_HUB",49,TRUE,FALSE,,
"RT @TPT_Global: Cristiano Ronaldo looks back on his time with #RealMadrid. https://t.co/hTSASAnsrT",FALSE,0,,2018-07-11 08:16:49,FALSE,,"1016959483736657920",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cooldudeaman44",529,TRUE,FALSE,,
"#Neymar, #Mbappe &amp; 10 players #RealMadrid could sign to replace #CristianoRonaldo https://t.co/1KKSgPy3ZJ",FALSE,0,,2018-07-11 08:16:37,FALSE,,"1016959431093948416",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Zannoubia1987",0,FALSE,FALSE,,
"O dünyanin en iyisi #CristianoRonaldo #CR7 #RealMadrid https://t.co/jmwdtai1LX",FALSE,0,,2018-07-11 08:16:36,FALSE,,"1016959428132790273",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","snl_mustafa",0,FALSE,FALSE,,
"I have no reason to love anymore #RealMadrid 
<U+2764> @Cristiano <U+2714>
         <ed><U+00A0><U+00BD><ed><U+00B1><U+008F> <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>
             <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
      #Juventus <ed><U+00A0><U+00BD><ed><U+00B1><U+0080>",FALSE,0,,2018-07-11 08:16:34,FALSE,,"1016959420335415296",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SaidiVialli",0,FALSE,FALSE,"39.2635801","-6.7973436"
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:16:33,FALSE,,"1016959416669597698",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RenRen00m0r1",91293,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:16:20,FALSE,,"1016959360772202496",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","i_am_taka911450",91293,TRUE,FALSE,,
"RT @footballespana_: #LaLiga chief Javier Tebas 'not worried' by Cristiano Ronaldo departure: \"#RealMadrid are bigger than Ronaldo's brand\"…",FALSE,0,,2018-07-11 08:16:19,FALSE,,"1016959354984108032",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Dayo_Mufc",2,TRUE,FALSE,,
"RT @TPT_Global: Cristiano Ronaldo looks back on his time with #RealMadrid. https://t.co/hTSASAnsrT",FALSE,0,,2018-07-11 08:15:57,FALSE,,"1016959263372005376",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OrangeHokage7",529,TRUE,FALSE,,
"RT @Mudanzaslaseda: #BuenosDias Así será la vida de @Cristiano  en Turín.  mudanza a la vista. La mudanza no le supondrá ningún problema. S…",FALSE,0,,2018-07-11 08:15:56,FALSE,,"1016959260868141057",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","dayseomurcia",1,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:15:54,FALSE,,"1016959253301678081",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","eldahio",91293,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:15:48,FALSE,,"1016959224927137792",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","capodifuenla",91293,TRUE,FALSE,,
"RT @realmadrid: Comunicado Oficial: Cristiano Ronaldo.

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/nJiousygtF

#RealMadrid https://t.co/JwQqrrk0Wc",FALSE,0,,2018-07-11 08:15:43,FALSE,,"1016959207029989376",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ex46328411",91293,TRUE,FALSE,,
"RT @RomainCG75: Avec la vente de #CristianoRonaldo, le #RealMadrid va faire une offre de 375M€ au #PSG pour #Neymar ! https://t.co/I7kgzsPk…",FALSE,0,,2018-07-11 08:15:40,FALSE,,"1016959194019385345",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","VasseurQ16",10,TRUE,FALSE,,
"RT @siamsport_news: <U+0E17><U+0E32><U+0E07><U+0E01><U+0E32><U+0E23>! <U+0E40><U+0E23><U+0E2D><U+0E31><U+0E25><U+0E21><U+0E32><U+0E14><U+0E23><U+0E34><U+0E14><U+0E04><U+0E2D><U+0E19><U+0E40><U+0E1F><U+0E34><U+0E23><U+0E4C><U+0E21><U+0E42><U+0E23><U+0E19><U+0E31><U+0E25><U+0E42><U+0E14><U+0E49><U+0E44><U+0E1B><U+0E22><U+0E39><U+0E40><U+0E27><U+0E19><U+0E15><U+0E38><U+0E2A>4.2<U+0E1E><U+0E31><U+0E19><U+0E25><U+0E49><U+0E32><U+0E19> https://t.co/UMBFDl6dKu via @siamsport_news #cr7 #ronaldo #juv…",FALSE,0,,2018-07-11 08:15:36,FALSE,,"1016959177061625856",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Yataemin29390",84,TRUE,FALSE,,
"RT @TheCuleHater: A o B, elige #RealMadrid #FCBarcelona https://t.co/YwQ0sNUnDw",FALSE,0,,2018-07-11 08:15:32,FALSE,,"1016959160603332608",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","TodoFutbolAqui",24,TRUE,FALSE,,
"RT @talkSPORT: Cristiano Ronaldo at #RealMadrid:

<U+26AA> Games: 438
<U+26BD> Goals: 450
<ed><U+00A0><U+00BC><ed><U+00BE><U+00AF> Assists: 119

<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA> 4x UCL
<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> 2x La Liga
<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> 2x Copa Del Re…",FALSE,0,,2018-07-11 08:15:31,FALSE,,"1016959156731998209",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SiyabongaQhwazi",49,TRUE,FALSE,,
"RT @iamtobenna_: #RealMadrid Fans on their way to Juve after the C. Ronaldo announcement <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/YDk5unBkVD",FALSE,0,,2018-07-11 08:15:29,FALSE,,"1016959146841788417",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MsydanaEnkosi",31,TRUE,FALSE,,
"Simplemente gracias CRIS, por estos momentos durante tus nueve años vestido de blanco. Hala Madrid @cristiano… https://t.co/oFZg1G5WVD",FALSE,0,,2018-07-11 08:15:29,TRUE,,"1016959145038077952",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","ivandeandres",0,FALSE,FALSE,,
"Gareth Bale still to hold talks with #RealMadrid over future despite reports that Cristiano Ronaldo exit had settle… https://t.co/U0gT7kRjC3",FALSE,2,,2018-07-11 08:15:25,TRUE,,"1016959130962153477",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","footballespana_",1,FALSE,FALSE,,
"RT @junaidhimself: Meanwhile Real Madrid Fans Moving To Juventus Along With Cristiano Ronaldo <ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#Cristiano #CristianoRonaldo #RealMadrid…",FALSE,0,,2018-07-11 08:15:15,FALSE,,"1016959087160905733",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","DanielNyen",92,TRUE,FALSE,,
"RT @rtl1025: #CristianoRonaldo alla #Juventus <U+26AB><U+FE0F><U+26AA><U+FE0F>
Al #RealMadrid 105 milioni <ed><U+00A0><U+00BD><ed><U+00B2><U+00B8>

È il colpo del secolo? <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
https://t.co/VOnMCtaT4i",FALSE,0,,2018-07-11 08:15:11,FALSE,,"1016959072166449154",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","perryftgoulding",24,TRUE,FALSE,,
"RT @TheCuleHater: A o B, elige #RealMadrid #FCBarcelona https://t.co/YwQ0sNUnDw",FALSE,0,,2018-07-11 08:15:10,FALSE,,"1016959066437021696",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jmleyva_garcia",24,TRUE,FALSE,,
"RT @BashirAhmaad: Cristiano Ronaldo came to #RealMadrid as World’s Best Footballer, nine years after, he has left the club as World’s Best…",FALSE,0,,2018-07-11 08:15:10,FALSE,,"1016959066348883968",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jimegarroo",804,TRUE,FALSE,,
"Cristóbal Soria se mofa del madridismo tras la marcha de Cristiano: \"Os ha dejado con la cara partida\" #RealMadrid… https://t.co/ucYorS2wzD",FALSE,0,,2018-07-11 08:15:07,TRUE,,"1016959053820391424",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","RevistaElBalon",0,FALSE,FALSE,,
