"x"
"1" "rt<U+0930><U+094B><U+0928><U+093E><U+0932><U+094D><U+0921><U+094B> <U+091C><U+0941><U+0935><U+0947><U+0902><U+091F><U+0938><U+0915><U+0921><U+0947> <U+0930><U+093F><U+092F><U+0932> <U+092E><U+0945><U+0921><U+094D><U+0930><U+093F><U+0921><U+0928><U+0947> <U+0915><U+0947><U+0932><U+0940> <U+0905><U+0927><U+093F><U+0915><U+0943><U+0924> <U+0918><U+094B><U+0937><U+0923><U+093E> cr crjuventus crallajuventus realmadrid juventus …"
"2" "rtelde abril deles protagonista de uno de los mejores teasers de la saga de pes y fue para nada…"
"3" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"4" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"5" "rtk a week <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+623C><U+3E30> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+623C><U+3E35> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+623C><U+3E37> 

cristianoronaldo ronaldo cr cristiano realmadrid juventus worldcup …"
"6" "rtgareth bale still to hold talks with realmadrid over future despite repos that cristiano ronaldo exit had settled h…"
"7" "rtwe need to settle this now 
who was your besttonight 
rt for hazard 
like for mbappe
frabel timefortorreira realmadrid…"
"8" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"9" "if u cant beat thembuy them 

juventus 
realmadrid"
"10" "rtcristiano ronaldo is a realmadrid legend 

appearances 
goals
assists 
hattricks"
"11" "rtcristiano ronaldo at realmadrid

<U+26AA> games 
<U+26BD> goals 
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66> assists 

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61> x ucl
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> x la liga
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> x copa del re…"
"12" "rtcristiano ronaldo looks back on his time with realmadrid"
"13" "neymar mbappe ampplayers realmadrid could sign to replace cristianoronaldo"
"14" "o dünyanin en iyisi cristianoronaldo cr realmadrid"
"15" "i have no reason to love anymore realmadrid 
<U+2764><U+2714>
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E31>
juventus <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E30>"
"16" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"17" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"18" "rtlaliga chief javier tebas not worried by cristiano ronaldo depaure realmadrid are bigger than ronaldos brand…"
"19" "rtcristiano ronaldo looks back on his time with realmadrid"
"20" "rtbuenosdias así será la vida deen turínmudanza a la vista la mudanza no le supondrá ningún problema s…"
"21" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"22" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"23" "rtcomunicado oficial cristiano ronaldo

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> 

realmadrid"
"24" "rtavec la vente de cristianoronaldo le realmadrid va faire une offre de m€ au psg pour neymar…"
