"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Rihanna on summer vacation with Hassan Jameel -she is so sexy https://t.co/KQ54u7qcAO via @DailyMailCeleb #Rihanna… https://t.co/JNrRnRiTIP",FALSE,0,,2018-07-11 08:06:55,TRUE,,"1016956991946809344",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","NorthGateCyprus",0,FALSE,FALSE,,
"RT @iankitarathore: <U+2066>@rihanna<U+2069> yo another doppelgänger from India  <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> #RIHANNANAVY #bajanqueen #rihanna https://t.co/7sWCUFLmn7",FALSE,0,,2018-07-11 08:06:17,FALSE,,"1016956831388745728",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PAMOTIN",474,TRUE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 08:06:09,FALSE,,"1016956798379573248",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PAMOTIN",1150,TRUE,FALSE,,
"RT @cgtnenespanol: La modelo india Renee Kujur se vuelve famosa por parecerse a #Rihanna. https://t.co/Ia61D1AzmU https://t.co/iB7VCC7eOu",FALSE,0,,2018-07-11 08:06:05,FALSE,,"1016956782734860289",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PAMOTIN",12,TRUE,FALSE,,
"RT @kyliesnapsongs: #Drake - Too Good (feat. #Rihanna)
with #HaileyBaldwin

#throwback #KylieJenner

Copyrighted music, video with sound <U+2B07><U+FE0F>…",FALSE,0,,2018-07-11 08:04:19,FALSE,,"1016956338063269888",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"https://t.co/aUUFbOC5dT

#INeedSomebody aumentiamo le views! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#EmmaMuscat #SelenaGomez #ArianaGrande #Beyonce… https://t.co/FFJZrgvjHQ",FALSE,0,,2018-07-11 08:00:54,TRUE,,"1016955475898888192",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","donatellab3",1,FALSE,FALSE,,
"RT @RihannaDaily: Name your fav #Rihanna moment https://t.co/pabHmgNsqd",FALSE,0,,2018-07-11 07:48:32,FALSE,,"1016952364262191105",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RiicaNFH",78,TRUE,FALSE,,
"#rihanna best artist ever! https://t.co/zATmRwWdyb",FALSE,0,,2018-07-11 07:45:09,FALSE,,"1016951515263758336",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","Fan_1_Rihanna",0,FALSE,FALSE,,
"all song justin bieber, Attitude determines the altitude of life., https://t.co/iYdZ978tBj #1d #rihanna #bieber #adele #song",FALSE,0,,2018-07-11 07:30:56,FALSE,,"1016947934179414016",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","MP3SongMusic",0,FALSE,FALSE,,
"La 'top model' ojito derecho de #Rihanna es de #Bilbao . Te lo cuenta Luis Gómez",FALSE,0,,2018-07-11 07:30:00,FALSE,,"1016947700544176130",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","elcorreo_com",0,FALSE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 07:28:47,FALSE,,"1016947394787676160",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cxxvz",1150,TRUE,FALSE,,
"RT @iankitarathore: <U+2066>@rihanna<U+2069> yo another doppelgänger from India  <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> #RIHANNANAVY #bajanqueen #rihanna https://t.co/7sWCUFLmn7",FALSE,0,,2018-07-11 07:28:10,FALSE,,"1016947240890445824",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","aniolsp",474,TRUE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 07:27:59,FALSE,,"1016947195172605952",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","aniolsp",1150,TRUE,FALSE,,
"“BONE VIE” Temmuz sayisi yine dopdulu zengin içerigi ile seçkin bayilerde siz sevgili dostlarimizi bekliyor.… https://t.co/wXpYXldxop",FALSE,1,,2018-07-11 07:07:30,TRUE,,"1016942037529219072",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","dincerkaraca",0,FALSE,FALSE,,
"justinbieber song, Be the business never so painful, you may have it done for money., https://t.co/Sfy6RPUiwR #1d… https://t.co/KXTbrLDpUj",FALSE,0,,2018-07-11 07:01:15,TRUE,,"1016940463645790209",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","MP3SongMusic",0,FALSE,FALSE,,
"Name your fav #Rihanna moment https://t.co/SZarS0mrMV",FALSE,0,,2018-07-11 07:00:52,FALSE,,"1016940367260897280",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","ReinaaRoyale",0,FALSE,FALSE,,
"RT @cgtnenespanol: La modelo india Renee Kujur se vuelve famosa por parecerse a #Rihanna. https://t.co/Ia61D1AzmU https://t.co/iB7VCC7eOu",FALSE,0,,2018-07-11 06:52:14,FALSE,,"1016938198042333184",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","animuslib",12,TRUE,FALSE,,
"RT @RihannaDaily: Name your fav #Rihanna moment https://t.co/pabHmgNsqd",FALSE,0,,2018-07-11 06:43:51,FALSE,,"1016936085253914624",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Margher52471854",78,TRUE,FALSE,,
"https://t.co/7A4pQwlskf #rihanna https://t.co/k84TK6Q0QA",FALSE,0,,2018-07-11 06:36:13,FALSE,,"1016934163700731910",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","Rihanna_all1",0,FALSE,FALSE,,
"a picture of justin bieber, I just really think every job I do, I get this gypsy attitude to money., http #1d #rihanna #bieber #adele #song",FALSE,0,,2018-07-11 06:30:55,FALSE,,"1016932832432648192",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","MP3SongMusic",0,FALSE,FALSE,,
"RT @RihannaDaily: Name your fav #Rihanna moment https://t.co/pabHmgNsqd",FALSE,0,,2018-07-11 06:29:41,FALSE,,"1016932522167586816",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","_KeVVDaOne",78,TRUE,FALSE,,
"RT @RihannaDaily: Name your fav #Rihanna moment https://t.co/pabHmgNsqd",FALSE,0,,2018-07-11 06:16:02,FALSE,,"1016929085841235968",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","aarnafa",78,TRUE,FALSE,,
".@rihanna sets her eyebrows with soap. Read More... https://t.co/bGQVrrRQFO

#Glamsham #Hollywood #Rihanna… https://t.co/ogd9xisYF2",FALSE,1,,2018-07-11 06:04:49,TRUE,,"1016926262227554309",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","glamsham",0,FALSE,FALSE,,
"talk to justin bieber, There has been a change in attitude, though., https://t.co/iYdZ978tBj #1d #rihanna #bieber #adele #song",FALSE,0,,2018-07-11 06:01:32,FALSE,,"1016925438768058369",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","MP3SongMusic",0,FALSE,FALSE,,
"#Rihanna sets her eyebrows with soap
https://t.co/Uki5OKYhGU https://t.co/KB3PvxMhcK",FALSE,0,,2018-07-11 05:55:25,FALSE,,"1016923899978768384",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","fpjindia",0,FALSE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 05:53:43,FALSE,,"1016923470918189056",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SoyPatricia",1150,TRUE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 05:49:21,FALSE,,"1016922370852835328",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kidrauhI5sos",1150,TRUE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 05:48:28,FALSE,,"1016922149716746240",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MadhuriDixitLA",1150,TRUE,FALSE,,
"RT @RihannaDaily: Name your fav #Rihanna moment https://t.co/pabHmgNsqd",FALSE,0,,2018-07-11 05:47:05,FALSE,,"1016921803023929349",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","tiffisastarr",78,TRUE,FALSE,,
"Umberrrella-ella-ella
Hey-hey-hey .
.

#mumbairains #rains #umbrella #pani #theraindoesntstopus #chai #hotchocolate… https://t.co/94RklPV8at",FALSE,0,,2018-07-11 05:42:41,TRUE,,"1016920695597608960",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","MinistryOfNew",0,FALSE,FALSE,,
"RT @htshowbiz: Meet India’s #Rihanna lookalike, the Chhattisgarh girl who went from ridicule to Riri
https://t.co/xdCfANHsjh https://t.co/K…",FALSE,0,,2018-07-11 05:41:49,FALSE,,"1016920474419281921",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cesiah_madrid",1150,TRUE,FALSE,,
"RT @iankitarathore: <U+2066>@rihanna<U+2069> yo another doppelgänger from India  <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> #RIHANNANAVY #bajanqueen #rihanna https://t.co/7sWCUFLmn7",FALSE,0,,2018-07-11 05:31:10,FALSE,,"1016917797308334080",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SebasMinogueT",474,TRUE,FALSE,,
"where does justin bieber live, There is nothing more requisite in business than despatch., https://t.co/i8WLa3QBhK… https://t.co/8Fzrg0XwrF",FALSE,0,,2018-07-11 05:30:56,TRUE,,"1016917737233240064",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","MP3SongMusic",0,FALSE,FALSE,,
"RT @cgtnenespanol: La modelo india Renee Kujur se vuelve famosa por parecerse a #Rihanna. https://t.co/Ia61D1AzmU https://t.co/iB7VCC7eOu",FALSE,0,,2018-07-11 05:30:45,FALSE,,"1016917691024764928",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SebasMinogueT",12,TRUE,FALSE,,
