"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SelenaGomezNews: Selena’s Mom via IG: #selenagomez talking to me on the phone when I was at work asking about her day at school. My sas…",FALSE,0,,2018-07-11 08:07:19,FALSE,,"1016957093054644224",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xkylizz",1284,TRUE,FALSE,,
"Nel nuovo album di #SelenaGomez una collaborazione e alcuni brani in spagnolo: https://t.co/Jy4xJ2bmu4 https://t.co/lkEeHhEAzy",FALSE,0,,2018-07-11 08:02:45,FALSE,,"1016955944037740544",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TwitGinger",0,FALSE,FALSE,,
"RT @VivianFabiolaV: Thanks to everyone who is supporting my interview! I really appreciate the positive feedback <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/wXXz285rON…",FALSE,0,,2018-07-11 08:02:40,FALSE,,"1016955919631077378",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","gkoroniadiss",246,TRUE,FALSE,,
"RT @lancefrancis_: she smiles, but her eyes could tell. #selenagomez https://t.co/3ZehiPQbUI",FALSE,0,,2018-07-11 08:01:41,FALSE,,"1016955676092841990",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","nnpb21",27,TRUE,FALSE,,
"Come &amp; Get It 

#KCAMexico #SelenaGomez #Wolves https://t.co/ZH3C2bKNcc",FALSE,0,,2018-07-11 08:01:15,FALSE,,"1016955563287240704",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"Hands To Myself 

#KCAMexico #SelenaGomez #Wolves https://t.co/xjx67zhvB8",FALSE,0,,2018-07-11 08:01:00,FALSE,,"1016955500456497152",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"SNL 

#KCAMexico #SelenaGomez #Wolves https://t.co/qyG3I9PXGj",FALSE,0,,2018-07-11 08:00:58,FALSE,,"1016955494324490241",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"https://t.co/aUUFbOC5dT

#INeedSomebody aumentiamo le views! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#EmmaMuscat #SelenaGomez #ArianaGrande #Beyonce… https://t.co/FFJZrgvjHQ",FALSE,0,,2018-07-11 08:00:54,TRUE,,"1016955475898888192",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","donatellab3",1,FALSE,FALSE,,
"Now playing #SelenaGomez - #BackToYou on Total Hits",FALSE,0,,2018-07-11 08:00:50,FALSE,,"1016955458718961665",,"<a href=\"https://www.marci.io\" rel=\"nofollow\">Marci</a>","totalhitsradio",0,FALSE,FALSE,,
"Long 

#KCAMexico #SelenaGomez #Wolves https://t.co/grNujSRsjM",FALSE,0,,2018-07-11 08:00:23,FALSE,,"1016955345837621248",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"Revival Tour 

#KCAMexico #SelenaGomez #Wolves https://t.co/Ma95QfAxGk",FALSE,0,,2018-07-11 08:00:14,FALSE,,"1016955307770241024",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"Another Cinderella Story 

#KCAMexico #SelenaGomez #Wolves https://t.co/wl2d6EK3rO",FALSE,0,,2018-07-11 08:00:04,FALSE,,"1016955265231581185",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"I’m so sick of that same old love <ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #staystrong #selenagomez",FALSE,0,,2018-07-11 07:59:51,FALSE,,"1016955214740447233",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Serenaocy",0,FALSE,FALSE,,
"RT @LiveJahseh: I’m so sad because i thought Jelena was endgame,anyway here’s they’re story in 48 seconds.
#Jelena #JustinBieber #SelenaGom…",FALSE,0,,2018-07-11 07:59:46,FALSE,,"1016955190707044354",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Augsu_B",10,TRUE,FALSE,,
"Bad Liar 

#KCAMexico #SelenaGomez #Wolves https://t.co/7Cv1zjMzE8",FALSE,0,,2018-07-11 07:59:23,FALSE,,"1016955097329348613",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xselenasmuffin",0,FALSE,FALSE,,
"RT @SelenaGomezNews: Selena’s Mom via IG: #selenagomez talking to me on the phone when I was at work asking about her day at school. My sas…",FALSE,0,,2018-07-11 07:58:51,FALSE,,"1016954961203118080",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","0301_1994",1284,TRUE,FALSE,,
"RT @VoteSelenaGNow: #KCAMexico #SelenaGomez #Wolves https://t.co/zq3b9iKbwx",FALSE,0,,2018-07-11 07:58:15,FALSE,,"1016954810325786624",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Selenaqueen1122",20,TRUE,FALSE,,
"RT @SelenaGomezNews: Selena’s Mom via IG: #selenagomez talking to me on the phone when I was at work asking about her day at school. My sas…",FALSE,0,,2018-07-11 07:57:16,FALSE,,"1016954564497403904",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","insatiablyvocal",1284,TRUE,FALSE,,
"RT @Liza79156667: \"Selena  is unbothered\" Clearly not. look at her eyes she has been crying i feel so bad for her <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> my jelena heart #jelena…",FALSE,0,,2018-07-11 07:57:13,FALSE,,"1016954548580044800",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","forrealomann",11,TRUE,FALSE,,
"RT @VoteSelenaGNow: #KCAMexico #SelenaGomez #Wolves https://t.co/zq3b9iKbwx",FALSE,0,,2018-07-11 07:57:12,FALSE,,"1016954545467994114",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","adnaaa_coricc",20,TRUE,FALSE,,
"RT @SelenaGomezNews: Selena’s Mom via IG: #selenagomez talking to me on the phone when I was at work asking about her day at school. My sas…",FALSE,0,,2018-07-11 07:54:45,FALSE,,"1016953928192147456",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jus_1994_16",1284,TRUE,FALSE,,
"RT @Fresh1027NY: Gonna play #BackToYou by #SelenaGomez at 6:04... and don't forget, at the end of the 6@6 Countdown you'll have ANOTHER sho…",FALSE,0,,2018-07-11 07:53:58,FALSE,,"1016953730690895872",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","selenagxzayn",27,TRUE,FALSE,,
"Je veux bien croire que #JustinBieber est amoureux mais quand même... Ça fait 1 mois qu'ils se sont remis ensemble… https://t.co/WjXk5uoJzr",FALSE,0,,2018-07-11 07:51:00,TRUE,,"1016952986021584897",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MelanieSerra4",0,FALSE,FALSE,,
"RT @SiredToDamon89: JUSTIN BIEBER CHE CHIAMA HAILEY ‘LOVE OF MY LIFE’ falso come ORONZO DI #TempatationIsland che piange affinché Valentina…",FALSE,0,,2018-07-11 07:50:14,FALSE,,"1016952792680947712",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","xscrewedupmess",12,TRUE,FALSE,,
"she is very beautiful when she was a child #SelenaGomez
now she has become a woman https://t.co/Q8uhHRVoMb",FALSE,1,,2018-07-11 07:49:58,FALSE,,"1016952724292800512",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Matte2252",0,FALSE,FALSE,,
"My heart just skipped a beat... <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @_ChloeADixon_ #selenagomez Thought she might have been on board with my… https://t.co/X9VEITzClY",FALSE,1,,2018-07-11 07:48:52,TRUE,,"1016952449503023105",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Leanneadixon",0,FALSE,FALSE,,
"RT @VoteSelenaGNow: #KCAMexico #SelenaGomez #Wolves https://t.co/zq3b9iKbwx",FALSE,0,,2018-07-11 07:47:15,FALSE,,"1016952041959194624",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","assyselenurr",20,TRUE,FALSE,,
"RT @yucepandaaqx: Mükemmel bir kolaj allahim 
#selenagomez #Selenators https://t.co/5xgevJ1Owj",FALSE,0,,2018-07-11 07:47:12,FALSE,,"1016952027937681413",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","odpfossof",1,TRUE,FALSE,,
"RT @SelenaGomezNews: Selena’s Mom via IG: #selenagomez talking to me on the phone when I was at work asking about her day at school. My sas…",FALSE,0,,2018-07-11 07:46:54,FALSE,,"1016951953606299653",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Gris3259Iu",1284,TRUE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 07:46:34,FALSE,,"1016951870122790912",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",24,TRUE,FALSE,,
