"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @FredRT3: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/lW0WXU4poX

#Sha…",FALSE,0,,2018-07-11 08:12:12,FALSE,,"1016958319716634624",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FredRT3",3,TRUE,FALSE,,
"RT @FredBJK: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/UIb4qJHJjS &lt;—-…",FALSE,0,,2018-07-11 08:11:54,FALSE,,"1016958245125132288",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FredBJK",7,TRUE,FALSE,,
"RT @FredRT3: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/29iGq6kvWX &lt;—-…",FALSE,0,,2018-07-11 08:11:36,FALSE,,"1016958170055544832",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FredBJK",3,TRUE,FALSE,,
"RT @FredRT3: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/lW0WXU4poX

#Sha…",FALSE,0,,2018-07-11 08:11:33,FALSE,,"1016958156235210753",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FredBJK",3,TRUE,FALSE,,
"RT @fredarslann: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/adKFtx4XYm &lt;…",FALSE,0,,2018-07-11 08:11:30,FALSE,,"1016958143140593665",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FredBJK",4,TRUE,FALSE,,
"RT @FredRT3: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/29iGq6kvWX &lt;—-…",FALSE,0,,2018-07-11 08:11:07,FALSE,,"1016958046457737216",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fredarslann",3,TRUE,FALSE,,
"@whatthehellists @yumoslukazak Tabi çildiririm en büyük hayalim #Shakira izlemek <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,"whatthehellists",2018-07-11 08:11:05,FALSE,"1016956371865088002","1016958039193243648","951895986045104130","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Cansuelikkran1",0,FALSE,FALSE,,
"RT @fredarslann: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/adKFtx4XYm &lt;…",FALSE,0,,2018-07-11 08:10:53,FALSE,,"1016957988077260800",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fredarslann",4,TRUE,FALSE,,
"RT @FredRT3: SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

https://t.co/lW0WXU4poX

#Sha…",FALSE,0,,2018-07-11 08:10:11,FALSE,,"1016957814122704897",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fredarslann",3,TRUE,FALSE,,
"Anyone going to #Shakira Cedars concert in #Lebanon and searching for a hotel room ? Have an extra one in Myst Ehden to sell",FALSE,0,,2018-07-11 08:07:40,FALSE,,"1016957181776650241",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","elie_h",0,FALSE,FALSE,,
"SHAKIRA Konserini Yarin Sahadan Youtube Kanalimdan Canli Yayinlayacagim Abone Olun Renktaslar<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>… https://t.co/lkBKOX8auM",FALSE,4,,2018-07-11 08:07:23,TRUE,,"1016957109152505857",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FredRT3",3,FALSE,FALSE,,
"Donde están los Ladrones
Donde esta el asesino 
Se estarán revolcando en el patio del Konkreso, knm, Pj
deberíamos… https://t.co/kB04dqo0Wf",FALSE,1,,2018-07-11 08:05:26,TRUE,,"1016956618649620481",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CynthiaMaga2",0,FALSE,FALSE,,
"#Shakira konseri nedeniyle bazi yollar trafige kapatilacak https://t.co/B8knGbhlem #Konser Sonsöz Gazetesi • Haberl… https://t.co/ICBSBnlrFE",FALSE,0,,2018-07-11 08:03:13,TRUE,,"1016956060844875777",,"<a href=\"http://sonsoz.com.tr\" rel=\"nofollow\">Sonsöz Autopost</a>","sonsozgazete",0,FALSE,FALSE,,
"RT @BrendanDrums: Barcelona afterparty at The Blue Spot (w/ Gerard Pique, Shakira, Tim Mitchell) #shakira #eldoradoworldtour #thebluespot #…",FALSE,0,,2018-07-11 08:02:04,FALSE,,"1016955771546951686",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","candelafdez_",45,TRUE,FALSE,,
"RT @memesdepaurubio: Jajajajajaja me meoooo pobre #thalia #NattiNatasha @RMScanal @revistaboysmx @lareinademx @LavaderoMunecas @LuisDur9696…",FALSE,0,,2018-07-11 07:56:26,FALSE,,"1016954352534204416",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lareinademx",5,TRUE,FALSE,,
"@OzlemTekin Simdi isin yoksa kaliteli rock konseri için @OzlemTekin köyünü bul, alet edevat tasi, sahne kur, organi… https://t.co/m3stIm3o7L",FALSE,1,"OzlemTekin",2018-07-11 07:52:01,TRUE,"1015139682957643777","1016953242587140096","330906577","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","SinanKuday",0,FALSE,FALSE,,
"RT @Bkmonline: 11 yillik hasret 11 Temmuz’da son buluyor, Vodafone Park 3 gün sonra bir dünya starini agirliyor! Yoksa sen hala Shakira kon…",FALSE,0,,2018-07-11 07:50:55,FALSE,,"1016952965431734272",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","InevitableShaki",28,TRUE,FALSE,,
"RT @Bkmonline: Yarin Vodafone Park'ta yer yerinden oynayacak! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>Hazir misin Istanbul? <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> Biletler Biletix ve Vodafone Park'taki Biletix gisel…",FALSE,0,,2018-07-11 07:49:31,FALSE,,"1016952611113787392",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","InevitableShaki",13,TRUE,FALSE,,
"#Shakira #WorldCup https://t.co/lYDK1iRCux",FALSE,0,,2018-07-11 07:46:57,FALSE,,"1016951965329354752",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SilviaRocha18",0,FALSE,FALSE,,
"Misafir geldiginde herkes küçük bebekle ilgilenirken ben 3-4 yasindaki çocuk sevilmedigini düsünmesin diye onunla i… https://t.co/1C12NodFff",FALSE,0,,2018-07-11 07:41:02,TRUE,,"1016950477106434049",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","goldshaki",0,FALSE,FALSE,,
