"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Just watched 102 not out movie in amazon prime..#Srbachchan You are rocking budda star..One of the finest movie..Thank you for the movie",FALSE,0,,2018-07-10 14:41:46,FALSE,,"1016693971987324928",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Madhu94tweet",0,FALSE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/DA7PHROaxM",FALSE,0,,2018-07-10 00:45:51,TRUE,,"1016483604539424768",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"RT @vestelshirley: #nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake #BBCBreaking #S…",FALSE,0,,2018-07-09 22:38:28,FALSE,,"1016451549902594049",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/vSVl1gl3Vu",FALSE,0,,2018-07-09 22:33:24,TRUE,,"1016450274699988994",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",1,FALSE,FALSE,,
"@rb_prajapati90 @Ashabachchan @KalaYadav3 @Rekha872838 @addzz8 @NurdanKBBC @Ravi_AB_EF @bigb21bigbshiv… https://t.co/wfC1SgTMX8",FALSE,5,"rb_prajapati90",2018-07-09 05:17:27,TRUE,"1016182629513809921","1016189569035730944","776783960789573634","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","biranjan_nayak",2,FALSE,FALSE,,
"RT @biranjan_nayak: @rb_prajapati90 @NurdanKBBC @SONIYALUVSU @KalaYadav3 @ImJasbir @MukherjiRatna @GangulySunetra @addzz8 @bigb21bigbshiv @…",FALSE,0,,2018-07-08 14:23:04,FALSE,,"1015964489185779713",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rb_prajapati90",2,TRUE,FALSE,,
"@rb_prajapati90 @NurdanKBBC @SONIYALUVSU @KalaYadav3 @ImJasbir @MukherjiRatna @GangulySunetra @addzz8… https://t.co/9TtSsyhAvM",FALSE,11,"rb_prajapati90",2018-07-08 12:23:48,TRUE,"1015925918236381184","1015934475660713987","776783960789573634","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","biranjan_nayak",2,FALSE,FALSE,,
"RT @Mak40314141: @DSGiri @DrPadvekar @nmoditweets @bmcowl9 @MrsHiraSharma @tweets2ap @AnujGaur17 @prafulkr @sudhdeshitharra @CM_P17 @purohi…",FALSE,0,,2018-07-06 11:34:38,FALSE,,"1015197326422441984",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","DSGiri",1,TRUE,FALSE,,
"@DSGiri @DrPadvekar @nmoditweets @bmcowl9 @MrsHiraSharma @tweets2ap @AnujGaur17 @prafulkr @sudhdeshitharra @CM_P17… https://t.co/ENCtf6B1Em",FALSE,1,"DSGiri",2018-07-05 18:49:22,TRUE,"1014831514964627456","1014944340257492995","322005131","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mak40314141",1,FALSE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/sVtKIAD7mq",FALSE,0,,2018-07-03 21:25:53,TRUE,,"1014258953671315456",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
