ID,tweets
1,salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
2,rtmost famous superstar india salmankhan rajinikanth akshaykumar prabhas saaho goldtrailer sanju ranbir 
3,noticed entire bird made smaphones thats one ofmessage 
4,point starring rajinikanth akshaykumar set clash sushantsinghrajput saraalikhans kedarnath 
5,rajnikanth akshaykumar point pointfromnov 
6,salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
7,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
8,gold set intells historic story hockeyteam won first olympic medal india free natio 
9,november thugsofhindostannov studentoftheyearnov pointnov kedarnathnov aamirkhan 
10,much awaited film point starring rajnikanth akshaykumar going release november thgear view 
11,rtgold lifetime anything feel expectations cr uh agree goldtrailer gold point goldroyalcele 
12,rtblbestof choose favourite actor first half ofvote nowakshaykumar ran 
13,rta whopping rscrore thats much riding shahrukhkhan aamirkhanakshaykumar 
14,rtis known heroic blockbusters let wait watch manages make numberposition 
15,rtmouni roy can surprise akshay kumar fit bodyakshaykumar gold 
16,rtrajinikanth akshaykumar starrer point hit screens november 
17,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
18,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
19,rtrft many noticed entire bird made smaphones thats one ofmessage 
20,rtmouni roy can surprise akshay kumar fit bodyakshaykumar gold 
21,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
22,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
23,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
24,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
25,salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
26,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
27,rtpoint starring rajinikanth akshaykumar set clash sushantsinghrajput saraalikhans kedarnath 
28,rtblbestof choose favourite actor first half ofvote nowakshaykumar ran 
29,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
30,rtdid salmankhan just hack akshaykumar twitter account read bollywoodnews koimoi 
31,aliciakeys kellyclarkson aliciakeysbrasil kellyclarksonbramizade clubedopop
32,nowplaying aliciakeyslikethesea music massageslowjams quietstorm radio
33, homedepot can get keys copied even aliciakeys whoever needs fist bump serious 
34, celebrate nd bihday gonna upload song everyday fordaysfeat 
35, selflove playlist mondaymotivation hustle playlist made onthat becomes 
36,just think algorithms ai will soon everythingabout twitter thinks just 
37, someone one minute singing together nice girl 
38,rtanissa mouth fire mom mouth onn fiiiirrrrrrrreeeeeeeee aliciakeys
39,nowplaying aliciakeysyoursecrets music massageslowjams quietstorm radio
40,nice pics ofopening andlive onrooftop published bythis weekend 
41,musicmonday aliciakeys womanswoh ladiesvalueyourselfa womans woh video 
42, dont worry bc everythings gonna alright noone aliciakeysnowplaying
43,ihaveagoodfeelingabout woh finally got well deserved respect will make wohwhile wor 
44, accidentally made freestyle someone special surprise visit lt miss dancing 
45, heard episode mahogany vibes radio soundcloudsabrinaclaudio lalahhathaway 
46, rampb type nightjohnlegend anthonyhamilton aliciakeys
47, sad sexy swedish singer lykke li invites alicia kaliciakeys lykkeli mileycyrus
48,rta skyrockklassiks sur skyrock avec ce soir ntm aliciakeys sexiondassaut fugees drake lafouine 
49, writing foreseenwith touch immediately knew perfect theme song come liste 
50, moment honesty aliciakeys unthinkable imready iga ignusic music cover 
51, moment honesty aliciakeys unthinkable imready cover song acapella 
52,rnb soul janetjackson foxybrown mclyte sade brandy erykahbadu monica laurenhill aliciakeys wizdomphoenix
53, international superstar coming globalcitizen mandela charity conce 
54,tearsalwayswinaliciakeys lyrics musicsunday sundaymusic
55,now playing aliciakeys unthinkable imready music massage slow jams quiet storm radio
56,graciousamani beautiful soul aliciakeys
57, can listen hereamp read ather singer 
58,eve ganstalovin aliciakeys evegangsta lovin feat alicia keysvia
59,rtlol girl asks dates aliciakeys
60,sho version latest cover ain got alicia keys cover guitar aliciakeys ifiaintgotyou 
61,rtdroppin singing video reaaaaal quick one time aliciakeys
62,look around look around lucky alive right now aliciakeys thehamiltonmixtape nowspinning 
63, just girl fire alicia keys look excelsior students awork thisgirlisonfire 
64,im love ith picture omgavrillavigne al album wearereadyforal abbeydawnbyavrillavigne 
65,bella notizia per fan di avrillavigne la cantante ha confermato un nuovo album uscita nel 
66,hello everyone another original song one dream girlto honest fan gi 
67,rtavril lavigne losing grip avrillavigne avrilramonalavigne losinggrip letgo lg teenager avrilsmicroph 
68,pedazo de tema este de su actual disco avrillavigne homonimo este tema smile que significa sonrisa 
69,rtforever young love fuckin much avrillavigne hey avril back al 
70, best style ever miss era ready new album avrillavigne undermyskin
71,rtavril lavigne losing grip avrillavigne avrilramonalavigne losinggrip letgo lg teenager avrilsmicroph 
72,rta fun selfies bts shots yesterday photoshoot album cover taken insanely talented david need 
73, fun selfies bts shots yesterday photoshoot album cover taken insanely talented davi 
74,rtavril lavigne losing grip avrillavigne avrilramonalavigne losinggrip letgo lg teenager avrilsmicroph 
75,gahhh avrillavigne beautiful perfect
76,avril lavigne losing grip avrillavigne avrilramonalavigne losinggrip letgo lg teenager 
77,avrillavigne
78,rtforever young love fuckin much avrillavigne hey avril back al 
79,rttrue friends fazem isso avrillavigne
80,true friends fazem isso avrillavigne
81, cf ed fc fc ddd ab avrillavigne skrillex sk lexus uniqlo stussy tv 
82,forever young love fuckin much avrillavigne hey avril back al 
83,ms avril lavigneafternoon avril avrillavigne 
84,ms avril lavigneafternoon avril avrillavigne 
85,ms avril lavigne afternoon avril avrillavigne 
86,avril chad sa jeszczerazem czy ominelo mnie wiecejniz myslalam al avrillavigne
87, hours agowas shooting new album cover pictures will take water photogra 
88, see everything lie take headphones hold towords songs forget 
89,rtmy avrillavigne collection vinyl finally complete cool now ready receive th 
90,july festivalbar lignano sabbiadoro italy avrillavigne al
91,rtthe shots beautifulpowerful individually tell story can wait everyone see incredibl 
92,rtthe shots beautifulpowerful individually tell story can wait everyone see incredibl 
93,wednesdaywisdom steelpulse fans barackobama song memories enjoy sidmills spimusicinc
94,ajitpais fcc doesnt hear complaints unless pay thembarackobama
95,rtthe maps israeli settlements shocked barackobama israel
96,letterobamas significant visit southafrica next weekvia 
97,rtbarack obama will next week give speech views impoant since leaving white house 
98,barack obama will next week give speech views impoant since leaving white house 
99,rtrussiaobamagatebarackobama hillaryclinton deepstate fbicorruptionrosenstein andrewweissma 
100,rtremember barackobamapromised truth abt us dronestrike killed giovannilopoo today revealed 
101,rtthe maps israeli settlements shocked barackobama israel
102,russia clintonemailsbarackobama hillaryclinton fbicorruption peterstrzok lisapage 
103,don agree experience pa barackobama ussenator ilsenator harvardsfinest civilrights attorne 
104,rtallowing men womens bathrooms giving enemy iran billions dollars gacandidates votegop gavoters geor 
105,russia clintonemailsbarackobama hillaryclinton fbicorruption peterstrzok lisapage 
106, eight years two terms office president barack obamas foreign policy team spent final year scra 
107,russia clintonemailsbarackobama hillaryclinton fbicorruption peterstrzok lisapage 
108,russia clintonemailsbarackobama hillaryclinton dojcorruption fbicorruption comey 
109,limbaugh dems made critical error obamasupremecou ruthginsburg barackobama president 
110,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
111,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
112,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
113,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
114,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
115,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
116,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
117,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate fisagate 
118,russia clintonemailsbarackobama hillaryclinton fbicorruption oconuslures spygate 
119,rtrussiaobamagatebarackobama hillaryclinton deepstate fbicorruptionrosenstein andrewweissma 
120,russia obama gate barackobama hillary clinton dee pstate fbi corruption rosen stein 
121,rtarrestobama obamagate fisagate barackobama corruption treason scandalous daca tictocnews narcissist th 
122,russiaobamagatebarackobama hillaryclinton deepstate fbicorruptionrosenstein 
123,pakistan mother islamic terroristsreligionofpeacegroup balochistan pok gilgitbaltistan cpec 
124,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
125,rich mamag modern art museum bbc breaking news bbcbreaking vogue elle nbc cnn design
126,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
127,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
128,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
129,david davis resigned bbcbreaking
130,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
131,bring gimp bbcbreaking loyalist calls loyalists defend probs murder di 
132,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
133,rich mamag modern art museum bbc breaking news bbcbreaking vogue elle nbc cnn design
134,rtsouth korean antijapan hatekill demo cnn abc msnbc foxtv pbs bbcnews bbcbreaking bbcworld un 
135,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
136,south korean antijapan hatekill demo cnn abc msnbc foxtv pbs bbcnews bbcbreaking bbcworld un trump
137,let us kill japanese rally south korea cnn abc msnbc foxtv pbs bbcnews bbcbreakingbbcworldun
138,rtbbcnews hrw bbcbreaking humanity justice case thaarjustice 
139,bbcnews hrw bbcbreaking humanity justice case thaarjustice 
